		1000RandomTest
   Quadratic Open Addressing Hash Table
-------------------------------------
Index 		Key 		count 
0		5999		1
1		9998		1
2		7005		1
3		3		1
4		1004		1
5		6005		1
6		2006		1
7		4006		1
8		9008		1
9		3009		1
10		4009		1
11		3001		1
12		7023		1
13		8018		1
14		2014		1
15		7016		2
16		8016		1
17		4017		1
18		5020		1
19		8019		1
20		4019		1
21		1021		1
22		9020		1
23		6022		1
24		4025		1
25		7025		1
26		8026		1
27		2027		1
28		3022		1
29		31		1
30		3030		1
31		9031		1
32		3031		1
33		2033		1
34		7032		1
35		2034		1
36		4032		1
37		2028		1
38		7038		1
39		29		1
40		2048		1
41		3047		1
42		5043		1
43		4043		1
44		3044		1
45		2046		1
46		1046		1
47		47		1
48		2047		1
49		9049		2
50		1050		1
51		9051		1
52		8049		1
53		53		1
54		8052		1
55		6055		1
56		5055		1
57		5057		1
58		58		3
59		8058		1
60		75		1
61		4061		1
62		5062		2
63		66		1
64		7067		1
65		6068		1
66		2066		1
67		5066		1
68		9067		1
69		1069		1
70		5069		1
71		70		1
72		9072		1
73		7072		1
74		7074		1
75		2075		1
76		4075		1
77		1077		1
78		4077		1
79		9075		1
80		83		1
81		6083		1
82		2082		1
83		1082		1
84		6084		1
85		9084		1
86		9085		1
87		3087		1
88		2089		1
89		89		1
90		8089		1
91		1091		1
92		5092		1
93		4091		1
94		6094		1
95		6085		1
96		7088		1
97		97		1
98		1097		1
99		4099		1
100		4100		1
101		1101		1
102		4101		1
103		4023		2
104		8072		1
105		3106		1
106		5109		1
107		2107		1
108		5108		1
109		1109		2
110		4110		1
111		3110		1
112		8110		1
113		113		1
114		4112		1
115		6115		1
116		4116		1
117		5116		1
118		1119		1
119		5119		1
120		6119		1
121		9122		1
122		7122		1
123		4122		1
124		4124		1
125		1125		1
126		9123		1
127		2126		1
128		9126		1
129		5129		1
130		6129		1
131		1131		1
132		9037		1
133		1133		1
134		5134		1
135		3232		1
136		9139		1
137		1205		1
138		1138		1
139		7335		1
140		8422		1
141		4141		1
142		9142		1
143		2143		1
144		6144		1
145		4145		4
146		3143		1
147		2147		2
148		9441		1
149		8149		1
150		6150		1
151		7151		1
152		352		1
153		1153		1
154		153		1
155		4155		1
156		1156		1
157		5173		1
158		158		1
159		6246		1
160		8387		1
161		2161		1
162		4162		1
163		7163		1
164		2163		1
165		3165		1
166		3399		1
167		4182		1
168		3170		1
169		1169		1
170		9172		1
171		2171		1
172		5172		2
173		1174		1
174		9174		1
175		3175		1
176		9175		1
177		7172		1
178		178		1
179		7179		1
180		2179		1
181		7184		1
182		3182		1
183		183		2
184		8184		1
185		4183		1
186		1186		1
187		9187		1
188		6180		2
189		6189		1
190		5192		1
191		5191		1
192		5195		1
193		4193		1
194		6194		2
195		6195		1
196		196		1
197		197		1
198		6198		2
199		9199		1
200		2200		1
201		1198		1
202		6202		1
203		2203		1
204		6204		1
205		189		1
206		3206		1
207		2206		1
208		2396		1
209		5209		1
210		210		1
211		5265		1
212		6214		1
213		4213		1
214		9214		1
215		215		1
216		8214		1
217		217		1
218		4218		1
219		3350		1
220		5220		1
221		6220		1
222		3391		1
223		1256		1
224		4331		1
225		3226		1
226		226		1
227		4226		1
228		2228		2
229		1228		1
230		3230		2
231		8230		1
232		232		1
233		3237		1
234		6236		1
235		5236		1
236		2236		1
237		4236		1
238		7238		1
239		1239		1
240		3239		1
241		2241		1
242		4239		2
243		242		1
244		7244		2
245		3344		1
246		8304		1
247		5376		1
248		6248		1
249		249		1
250		2249		1
251		6251		1
252		8252		1
253		3258		1
254		1284		1
255		8255		1
256		4256		1
257		1259		1
258		4258		1
259		259		1
260		260		1
261		3261		1
262		9260		1
263		6263		1
264		8296		1
265		1265		1
266		266		1
267		7267		1
268		269		1
269		3285		1
270		1270		1
271		5271		1
272		3271		1
273		8273		1
274		9273		1
275		9275		1
276		275		1
277		2276		1
278		3278		1
279		6278		1
280		1280		1
281		9279		1
282		4280		1
283		6279		1
284		4284		1
285		9290		1
286		286		1
287		1287		1
288		1291		1
289		289		1
290		1290		2
291		7291		1
292		1293		2
293		2293		1
294		9294		1
295		8294		1
296		5296		1
297		8297		1
298		2297		1
299		301		1
300		8300		1
301		7300		1
302		5315		1
303		1307		1
304		6304		1
305		2314		1
306		2306		1
307		7306		1
308		2308		1
309		307		1
310		7308		1
311		8311		1
312		1312		1
313		2313		1
314		7314		1
315		7315		1
316		9313		1
317		9323		1
318		7318		1
319		4323		1
320		7320		1
321		8322		1
322		5322		2
323		7323		2
324		7324		1
325		9325		1
326		8325		1
327		1326		1
328		6328		1
329		329		1
330		320		1
331		8332		1
332		1334		1
333		3333		1
334		2335		1
335		5335		1
336		336		1
337		9335		1
338		2338		1
339		1339		1
340		339		1
341		4341		1
342		1342		1
343		6343		1
344		5316		1
345		3345		1
346		1346		1
347		2343		1
348		1333		1
349		5349		1
350		5350		1
351		7310		1
352		3327		1
353		3363		1
354		6428		1
355		9355		1
356		4355		1
357		3357		1
358		1356		1
359		368		1
360		4360		1
361		361		1
362		2362		1
363		4364		1
364		1364		1
365		6365		1
366		4415		1
367		9407		1
368		1368		1
369		370		1
370		5370		1
371		1371		1
372		7372		1
373		372		1
374		2374		1
375		5371		1
376		3404		1
377		1377		1
378		6430		1
379		379		1
380		4379		1
381		8402		1
382		430		1
383		384		1
384		9384		1
385		1385		1
386		1387		1
387		3387		1
388		387		1
389		6388		1
390		8390		2
391		1389		1
392		9392		1
393		9390		1
394		9401		1
395		9423		1
396		8396		1
397		6396		1
398		5397		1
399		8398		1
400		2400		1
401		400		1
402		4401		1
403		2405		1
404		8415		1
405		4405		1
406		7407		1
407		5407		3
408		407		1
409		5419		1
410		8414		1
411		1411		1
412		8411		1
413		413		1
414		414		1
415		1415		1
416		3415		1
417		7416		1
418		6417		1
419		4416		1
420		6420		1
421		5421		1
422		6421		1
423		421		1
424		7424		1
425		1425		1
426		1426		1
427		4426		1
428		7427		1
429		429		1
430		4425		1
